1 / study,Study,study_id, , ,Bioproject_ID,sra_accession,sra_accession, ,,,,study_id,study_id,study_id,Y,study_id,study_id,study_id,study_id,study_id,study_id,study_id,study_id,study_id,study_id,study_id,study_id,Study,Study,PRJNA349,String ,Alphanumeric UID assigned by NCBI,1 / study,Study,study_id,PRJNA349,String ,Alphanumeric UID assigned by NCBI,,,
1 / study,Study title,study_title, , ,Project_name,project_name,project_name, ,,,,study_title,study_title,study_title,Y,study_title,study_title,study_title,study_title,study_title,study_title,study_title,study_title,study_title,study_title,study_title,study_title,Study title,Study title,Publication or protocol title,String ,UID assigned by submitter,1 / study,Study title,study_title,Publication or protocol title,String ,UID assigned by submitter,,,
1 / study,Study type,study_description, , ,Study_Type,project_type,project_type, ,,,,study_description,study_description,study_description,Y,study_description,study_description,study_description,study_description,study_description,study_description,study_description,study_description,study_description,study_description,study_description,study_description,Study type,Study type,Placebo controlled phase 3 clinical trial,String,Free text,1 / study,Study type,study_description,Placebo controlled phase 3 clinical trial,String,Free text,,,
1 / study,Study inclusion/exclusion criteria,inclusion_exclusion_criteria, , ,Study_Inclusion,,, ,,,,inclusion_exclusion_criteria,,inclusion_exclusion_criteria, ,,,,,,,,,,,,,,,,String,Free text,1 / study,Study inclusion/exclusion criteria,inclusion_exclusion_criteria,,String,Free text,,,
1 / study,Grant funding agency,grants, , ,Grants,,, ,,,,grants,,grants, ,,,,,,,,,,,,,,,NIH,String,Free text,1 / study,Grant funding agency,grants,NIH,String,Free text,,,
1 / study,Lab name,lab_name, , ,"Lab_name, Center_Name",lab_name,lab_name, ,,,,lab_name,lab_name,lab_name,Y,lab_name,lab_name,lab_name,lab_name,lab_name,lab_name,lab_name,lab_name,lab_name,lab_name,lab_name,lab_name,Lab name,Lab name,Stibbons Lab,String,Free text,1 / study,Lab name,lab_name,abc Lab,String,Free text,,,
1 / study,Contact information (data collection),collected_by, , ,First_Authors_and_PI_year,,, ,,,,collected_by,,collected_by, ,,,,,,,,,,,,,,,p.stibbons@unseenu.edu,String,RFC6530-compliant email address,1 / study,Contact information (data collection),collected_by,p.stibbons@unseenu.edu,String,RFC6530-compliant email address,,,
1 / study,Contact information (data deposition),submitted_by, , ,Submitted_by,,, ,,,,submitted_by,,submitted_by, ,,,,,,,,,,,,,,,Dr. P. Stibbons,String,Free text,1 / study,Contact information (data deposition),submitted_by,Dr. P. Stibbons,String,Free text,,,
1 / study,Lab address,lab_address, , ,Lab_address,,, ,,,,lab_address,,lab_address, ,,,,,,,,,,,,,,,"Stibbons Lab, School of Medicine, Unseen University, Ankh-Morpork, Disk World",String,Free text,1 / study,Lab address,lab_address,"Stibbons Lab, School of Medicine, Unseen University, Ankh-Morpork, Disk World",String,Free text,,,
1 / study,Relevant publications,pub_ids, , ,Relevant_publications,,, ,,,,pub_ids,,pub_ids, ,,,,,,,,,,,,,,,PMID85642,String,UID assigned by PubMed (PMID),1 / study,Relevant publications,pub_ids,PMID85642,String,UID assigned by PubMed (PMID),,,
1 / subject,Subject ID,subject_id, , ,Donors,subject_code,subject_code, ,,,,subject_id,subject_id,subject_id,Y,subject_id,subject_id,subject_id,subject_id,subject_id,subject_id,subject_id,subject_id,subject_id,subject_id,subject_id,subject_id,Subject ID,Subject ID,SUB856413,String,UID assigned by submitter,1 / subject,Subject ID,subject_id,SUB856413,String,UID assigned by submitter,,,
